CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,LTV_Score
12388.0,16,6,2780.66,4,4,4,444,Champions,0,0.15733647822122684
12390.0,80,1,549.84,2,1,2,212,Other,0,0.11920501977635377
12391.0,22,1,460.89,3,1,2,312,Other,0,0.14237069193501606
12393.0,72,4,1582.6000000000001,2,3,3,233,Other,0,0.1293131378765728
12394.0,64,2,1272.48,2,2,3,223,Other,0,0.1286115254859053
12395.0,19,12,3018.63,3,4,4,344,Big Spender,0,0.16665083742293238
12397.0,36,2,2409.9,3,2,4,324,Big Spender,0,0.14190122004994432
12398.0,46,1,1635.6599999999999,3,1,3,313,Other,0,0.13481550663124942
12399.0,119,4,1108.65,2,3,3,233,Other,0,0.10956660524942444
12401.0,303,1,84.3,1,1,1,111,Other,1,0.028696014272625598
12402.0,323,1,225.6,1,1,1,111,Other,1,0.02090525811521932
12403.0,50,1,427.7,3,1,2,312,Other,0,0.13105141324234024
12405.0,149,1,1710.39,1,1,4,114,Big Spender,1,0.09352794520051283
12406.0,22,2,3415.3,3,2,4,324,Big Spender,0,0.1493253079855103
12407.0,50,5,1708.1200000000001,3,3,4,334,Big Spender,0,0.140066996225689
12408.0,33,5,2888.55,3,3,4,334,Big Spender,0,0.14900984642555876
12409.0,79,3,11072.67,2,3,4,234,Big Spender,0,0.14174975250342958
12410.0,309,2,693.3299999999999,1,2,3,123,Other,1,0.029052606445238646
12412.0,75,3,1226.88,2,3,3,233,Other,0,0.12578925550982686
12413.0,67,3,758.1,2,3,3,233,Other,0,0.12816991082760384
12414.0,217,3,562.41,1,3,2,132,Other,1,0.06749900083671455
12415.0,24,21,124914.53,3,4,4,344,Big Spender,3,0.3972984636854244
12417.0,3,9,3649.1,4,4,4,444,Champions,0,0.16916210342829563
12418.0,113,1,668.58,2,1,2,212,Other,0,0.10614612494823254
12420.0,64,1,600.39,2,1,2,212,Other,0,0.12572953882560123
12421.0,16,4,807.04,4,3,3,433,Potential Loyalist,0,0.15044931628405253
12422.0,96,3,803.5600000000001,2,3,3,233,Other,0,0.11658883240712396
12423.0,1,8,1859.31,4,4,4,444,Champions,0,0.16508995423302053
12424.0,163,2,1760.96,1,2,4,124,Big Spender,1,0.08967084908241828
12425.0,78,1,777.2,2,1,3,213,Other,0,0.12041501624080844
12426.0,195,1,582.73,1,1,2,112,Other,1,0.07301706072859208
12427.0,22,3,825.8,3,3,3,333,Other,0,0.14638723116096108
12428.0,26,9,7956.46,3,4,4,344,Big Spender,0,0.16759893552687222
12429.0,9,4,3750.4,4,3,4,434,Potential Loyalist,0,0.1585165355328923
12430.0,43,1,256.4,3,1,1,311,Other,0,0.13356075460532277
12431.0,36,15,6487.45,3,4,4,344,Big Spender,0,0.17105230314520262
12432.0,43,5,5059.32,3,3,4,334,Big Spender,0,0.1488619754601991
12433.0,1,7,13375.87,4,4,4,444,Champions,0,0.18395770214838564
12434.0,85,2,806.14,2,2,3,223,Other,0,0.11933433640982177
12435.0,80,2,7829.89,2,2,4,224,Big Spender,0,0.13387841697733618
12436.0,100,1,509.01,2,1,2,212,Other,0,0.11108926625186694
12437.0,2,18,4951.41,4,4,4,444,Champions,0,0.18703235379050143
12438.0,14,2,2906.85,4,2,4,424,Potential Loyalist,0,0.15163517515442612
12441.0,367,1,173.55,1,1,1,111,Other,1,0.003118008808824429
12442.0,3,1,172.06,4,1,1,411,Potential Loyalist,0,0.14949604706617056
12444.0,21,5,5005.46,3,3,4,334,Big Spender,0,0.15761305130392403
12445.0,22,1,133.4,3,1,1,311,Other,0,0.14178631051655002
12446.0,58,1,1002.3100000000001,2,1,3,213,Other,0,0.12885960364661966
12447.0,243,1,476.49,1,1,2,112,Other,1,0.05352453433052929
12448.0,44,1,449.45,3,1,2,312,Other,0,0.13350309312379344
12449.0,22,4,4067.29,3,3,4,334,Big Spender,0,0.15385412000639026
12450.0,156,2,197.88,1,2,1,121,Other,1,0.08969666309924477
12451.0,11,5,9035.52,4,3,4,434,Potential Loyalist,0,0.16882583976620472
12452.0,17,2,430.57,4,2,2,422,Potential Loyalist,0,0.14601000433033445
12453.0,134,1,707.09,2,1,3,213,Other,0,0.09776980294935009
12454.0,56,1,3528.34,2,1,4,214,Big Spender,0,0.1341714048537697
12455.0,73,6,2466.86,2,4,4,244,Big Spender,0,0.13385427357343122
12456.0,44,3,3181.04,3,3,4,334,Big Spender,0,0.14174279585230395
12457.0,66,7,2363.23,2,4,4,244,Big Spender,0,0.13816705929939813
12458.0,71,2,947.4,2,2,3,223,Other,0,0.12521643112741704
12461.0,94,2,826.88,2,2,3,223,Other,0,0.11575204244002357
12462.0,19,2,1189.59,3,2,3,323,Other,0,0.1465601292239259
12463.0,53,4,1344.78,2,3,3,233,Other,0,0.13652951653869294
12464.0,10,8,1212.05,4,4,3,443,Potential Loyalist,0,0.16031566420979992
12465.0,17,2,742.1899999999999,4,2,3,423,Potential Loyalist,0,0.14656606692040555
12468.0,188,2,729.5400000000001,1,2,3,123,Other,1,0.0777767379090786
12471.0,2,30,19824.05,4,4,4,444,Champions,2,0.23376377553067174
12472.0,32,7,6572.11,3,4,4,344,Big Spender,0,0.1593504132120802
12473.0,29,5,3938.5499999999997,3,3,4,334,Big Spender,0,0.15249207200518855
12474.0,17,18,7375.79,4,4,4,444,Champions,0,0.18532630704704967
12475.0,54,1,723.38,2,1,3,213,Other,0,0.12997045300577847
12476.0,16,11,6816.42,4,4,4,444,Champions,0,0.17295145172459858
12477.0,23,6,13219.74,3,4,4,344,Big Spender,0,0.17314922254298912
12478.0,4,1,680.99,4,1,3,413,Potential Loyalist,0,0.1500020498261907
12479.0,11,1,527.2,4,1,2,412,Potential Loyalist,0,0.14691260966529335
12480.0,28,4,3281.63,3,3,4,334,Big Spender,0,0.15003929984773662
12481.0,23,10,5596.32,3,4,4,344,Big Spender,0,0.16627656878935498
12483.0,17,8,2484.98,4,4,4,444,Champions,0,0.15977209921258342
12484.0,33,6,4541.72,3,4,4,344,Big Spender,0,0.15364249699019164
12488.0,10,3,1298.66,4,3,3,433,Potential Loyalist,0,0.15205675174048044
12489.0,336,1,334.93,1,1,2,112,Other,1,0.015872467288046088
12490.0,5,10,5417.93,4,4,4,444,Champions,0,0.17319685107075672
12491.0,39,1,460.40000000000003,3,1,2,312,Other,0,0.13553335644064818
12492.0,63,2,263.21000000000004,2,2,1,221,Other,0,0.1272127034064699
12493.0,166,2,433.74,1,2,2,122,Other,1,0.08609608991273612
12494.0,16,7,1246.1000000000001,4,4,3,443,Potential Loyalist,0,0.1562808629484702
12497.0,82,1,1043.1,2,1,3,213,Other,0,0.11928091582090697
12498.0,21,3,403.70000000000005,3,3,2,332,Other,0,0.14603617004363356
12500.0,23,11,4257.82,3,4,4,344,Big Spender,0,0.16557080792712828
12501.0,337,1,2169.39,1,1,4,114,Big Spender,1,0.018743779222756374
12502.0,96,5,3723.87,2,3,4,234,Big Spender,0,0.12516529186497863
12504.0,18,2,482.04999999999995,4,2,2,422,Potential Loyalist,0,0.14569972176904014
12506.0,233,1,73.5,1,1,1,111,Other,1,0.05682687652840249
12507.0,134,3,1304.81,2,3,3,233,Other,0,0.1022017742130156
12508.0,26,2,398.27,3,2,2,322,Other,0,0.14233306444635432
12509.0,284,1,176.5,1,1,1,111,Other,1,0.03650128894904284
12510.0,143,2,982.5699999999999,1,2,3,123,Other,0,0.09632476577025138
12512.0,66,2,138.03,2,2,1,221,Other,0,0.1257828947398654
12513.0,113,1,612.29,2,1,2,212,Other,0,0.10604567965205418
12514.0,267,1,1017.68,1,1,3,113,Other,1,0.0448387728897456
12515.0,353,1,383.7,1,1,2,112,Other,1,0.009123032580491953
12516.0,78,2,1312.06,2,2,3,223,Other,0,0.12305212622684432
12517.0,28,5,2502.84,3,3,4,334,Big Spender,0,0.1503322996308109
12518.0,1,5,2056.89,4,3,4,434,Potential Loyalist,0,0.16039444404682265
12519.0,64,1,340.84,2,1,2,212,Other,0,0.12526639125723926
12520.0,79,5,2634.26,2,3,4,234,Big Spender,0,0.1300574254164786
12521.0,143,1,599.68,1,1,2,112,Other,1,0.09395883488636911
12522.0,39,2,192.72,3,2,1,321,Other,0,0.1367383938028613
12523.0,19,11,1789.77,3,4,4,344,Big Spender,0,0.16277533632750257
12524.0,9,8,4485.72,4,4,4,444,Champions,0,0.16655942832354562
12526.0,1,3,1316.66,4,3,3,433,Potential Loyalist,0,0.15570817434367623
12527.0,82,3,348.71000000000004,2,3,2,232,Other,0,0.12140721340105808
12528.0,9,6,1933.48,4,4,4,444,Champions,0,0.15863976225997714
12530.0,60,4,1662.28,2,3,4,234,Big Spender,0,0.13428105814428878
12531.0,15,1,125.22,4,1,1,411,Potential Loyalist,0,0.14458672732299707
12532.0,30,1,349.83000000000004,3,1,2,312,Other,0,0.13895535549206475
12534.0,131,1,1089.18,2,1,3,213,Other,0,0.09965804830171021
12535.0,92,2,716.35,2,2,3,223,Other,0,0.11635909946362359
12536.0,43,3,12601.830000000002,3,3,4,334,Big Spender,0,0.1589556359838849
12538.0,29,1,363.95,3,1,2,312,Other,0,0.1393826963484257
12539.0,22,4,5568.35,3,3,4,334,Big Spender,0,0.1565326493416451
12540.0,20,17,13400.24,3,4,4,344,Big Spender,0,0.1931873609979146
12541.0,30,3,981.18,3,3,3,333,Other,0,0.1434473369762042
12544.0,36,1,372.7,3,1,2,312,Other,0,0.13658329666435962
12545.0,75,2,1000.39,2,2,3,223,Other,0,0.12370240873186562
12546.0,47,2,1161.5,3,2,3,323,Other,0,0.1352499510999214
12547.0,198,2,207.79999999999998,1,2,1,121,Other,1,0.07282428416856872
12548.0,166,1,95.19999999999999,1,1,1,111,Other,1,0.0838092982877899
12550.0,79,1,964.83,2,1,3,213,Other,0,0.12034768317453426
12551.0,358,1,168.0,1,1,1,111,Other,1,0.006727408197861402
12552.0,39,2,437.82,3,2,2,322,Other,0,0.13717575642665444
12553.0,8,10,3692.28,4,4,4,444,Champions,0,0.16891112335681543
12556.0,50,2,603.71,3,2,2,322,Other,0,0.1330481822347075
12557.0,16,5,11990.960000000001,4,3,4,434,Potential Loyalist,0,0.1720888776064034
12558.0,8,1,269.96,4,1,1,411,Potential Loyalist,0,0.14766001843556584
12559.0,311,2,561.71,1,2,2,122,Other,1,0.028013450852272994
12560.0,5,3,2134.01,4,3,4,434,Potential Loyalist,0,0.15555809521667865
12561.0,303,1,238.85,1,1,1,111,Other,1,0.028971797191871755
12562.0,8,7,3781.7400000000002,4,4,4,444,Champions,0,0.16402268111478516
12564.0,261,1,456.9,1,1,2,112,Other,1,0.04625097154215665
12565.0,289,1,145.92,1,1,1,111,Other,1,0.0344359973649296
12566.0,86,1,351.65,2,1,2,212,Other,0,0.11643849590737686
12567.0,23,10,9401.28,3,4,4,344,Big Spender,0,0.17306623541125637
12569.0,2,32,4124.69,4,4,4,444,Champions,2,0.20911482607231743
12571.0,40,2,519.61,3,2,2,322,Other,0,0.13691955979407153
12572.0,9,2,1020.42,4,2,3,423,Potential Loyalist,0,0.1502797057290015
12573.0,227,1,160.54000000000002,1,1,1,111,Other,1,0.05939506153310112
12574.0,316,1,218.45,1,1,1,111,Other,1,0.023707512879652885
12576.0,36,5,1315.83,3,3,3,333,Other,0,0.14499701086199154
12577.0,35,3,657.8,3,3,2,332,Other,0,0.14085956568484234
12578.0,21,2,2794.51,3,2,4,324,Big Spender,0,0.14861969941929878
12579.0,78,1,440.42,2,1,2,212,Other,0,0.11981405751195874
12580.0,247,1,415.7,1,1,2,112,Other,1,0.051807480032345546
12581.0,40,1,197.71,3,1,1,311,Other,0,0.13466246100494708
12582.0,239,2,511.36,1,2,2,122,Other,1,0.056878028634452196
12583.0,3,15,7281.38,4,4,4,444,Champions,0,0.1857397893476907
12584.0,4,9,2338.15,4,4,4,444,Champions,0,0.16642066640133618
12585.0,234,2,2040.1,1,2,4,124,Big Spender,1,0.06161667472065424
12586.0,17,1,196.94000000000003,4,1,1,411,Potential Loyalist,0,0.14391041675623334
12587.0,8,1,144.0,4,1,1,411,Potential Loyalist,0,0.14743525223363607
12588.0,39,1,214.89999999999998,3,1,1,311,Other,0,0.13509528004676316
12589.0,29,2,646.68,3,2,2,322,Other,0,0.1415698992013038
12590.0,211,2,9864.26,1,2,4,124,Big Spender,1,0.08482763298437554
12591.0,317,1,452.84999999999997,1,1,2,112,Other,1,0.023723637381370573
12592.0,92,2,437.6,2,2,2,222,Other,0,0.1158616909308519
12593.0,109,3,418.09999999999997,2,3,2,232,Other,0,0.1106731258205602
12594.0,38,10,3338.2200000000003,3,4,4,344,Big Spender,0,0.1562149865964581
12596.0,51,2,618.27,3,2,2,322,Other,0,0.1326720186939336
12597.0,19,4,3811.22,3,3,4,334,Big Spender,0,0.15460361655418145
12598.0,10,8,3023.08,4,4,4,444,Champions,0,0.1635473118334969
12599.0,29,7,1032.58,3,4,3,343,Other,0,0.15067197043589664
12600.0,29,10,2599.04,3,4,4,344,Big Spender,0,0.15851527810424912
12601.0,190,5,577.0600000000001,1,3,2,132,Other,1,0.08174843612889887
12602.0,59,1,153.12,2,1,1,211,Other,0,0.12694214281371463
12603.0,22,1,739.1999999999999,3,1,3,313,Other,0,0.1428673153206867
12604.0,79,2,254.18,2,2,1,221,Other,0,0.12076227369275855
12607.0,60,1,1579.51,2,1,3,213,Other,0,0.12908528434495173
12609.0,78,3,1126.85,2,3,3,233,Other,0,0.12440432513774867
12610.0,23,5,2099.54,3,3,4,334,Big Spender,0,0.15162336479627309
12611.0,52,1,1193.32,2,1,3,213,Other,0,0.13161331534244752
12612.0,74,1,704.0400000000001,2,1,3,213,Other,0,0.12189304677947732
12613.0,57,5,3344.38,2,3,4,234,Big Spender,0,0.14017176644717005
12614.0,278,1,315.6,1,1,2,112,Other,1,0.039162371131198304
12615.0,2,4,2291.19,4,3,4,434,Potential Loyalist,0,0.15872769779832505
12616.0,95,2,713.3,2,2,3,223,Other,0,0.11514722265031921
12617.0,29,1,355.53,3,1,2,312,Other,0,0.13936767148799184
12618.0,22,1,177.31,3,1,1,311,Other,0,0.14186466462838504
12619.0,16,9,3641.24,4,4,4,444,Champions,0,0.16392019580845685
12620.0,15,3,1339.41,4,3,3,433,Potential Loyalist,0,0.15011874320799987
12621.0,2,20,13689.67,4,4,4,444,Champions,2,0.20599051001333946
12622.0,232,1,180.1,1,1,1,111,Other,1,0.05741924103000373
12623.0,276,1,305.1,1,1,1,111,Other,1,0.03994792421052265
12624.0,106,2,641.13,2,2,2,222,Other,0,0.11059484818819604
12625.0,212,2,2683.82,1,2,4,124,Big Spender,1,0.07161252991609532
12626.0,23,9,6620.48,3,4,4,344,Big Spender,0,0.16642141342488587
12627.0,11,7,4478.53,4,4,4,444,Champions,0,0.16405961645421602
12628.0,4,3,786.46,4,3,3,433,Potential Loyalist,0,0.15355563777054904
12630.0,10,2,1270.88,4,2,3,423,Potential Loyalist,0,0.15032448809990778
12631.0,57,1,640.5,2,1,2,212,Other,0,0.12861612552638918
12633.0,59,4,2163.98,2,3,4,234,Big Spender,0,0.13557844905413435
12635.0,90,2,1689.18,2,2,4,224,Big Spender,0,0.11889933140404355
12637.0,67,8,6021.9,2,4,4,244,Big Spender,0,0.14597622989002482
12638.0,33,1,671.69,3,1,2,312,Other,0,0.1383232562801338
12639.0,239,1,486.1,1,1,2,112,Other,1,0.05515026174545831
12640.0,24,3,1174.58,3,3,3,333,Other,0,0.14620531344833096
12641.0,115,1,185.9,2,1,1,211,Other,0,0.10448052903413745
12642.0,25,3,1013.26,3,3,3,333,Other,0,0.14551530519816197
12643.0,128,6,3344.64,2,4,4,244,Big Spender,0,0.11330264388504675
12644.0,130,1,477.91,2,1,2,212,Other,0,0.09896942746368519
12645.0,34,4,1775.18,3,3,4,334,Big Spender,0,0.14493828382778604
12646.0,5,2,1346.97,4,2,3,423,Potential Loyalist,0,0.1524709888762235
12647.0,22,12,3722.82,3,4,4,344,Big Spender,0,0.1667009775090628
12648.0,155,1,318.05,1,1,2,112,Other,1,0.08863054994352039
12649.0,107,3,623.51,2,3,2,232,Other,0,0.11184395415122352
12650.0,3,1,314.44,4,1,2,412,Potential Loyalist,0,0.14975011353037157
12651.0,335,1,114.0,1,1,1,111,Other,1,0.015880378994172117
12652.0,331,1,919.98,1,1,3,113,Other,1,0.018927169129256828
12653.0,149,2,2209.85,1,2,4,124,Big Spender,1,0.09610188653341824
12654.0,11,5,601.98,4,3,2,432,Potential Loyalist,0,0.15377681821473763
12656.0,17,5,4051.17,4,3,4,434,Potential Loyalist,0,0.15751877123997002
12657.0,11,4,1643.18,4,3,3,433,Potential Loyalist,0,0.15395206945618217
12658.0,19,1,686.05,3,1,3,313,Other,0,0.1439789074360834
12659.0,30,1,91.68,3,1,1,311,Other,0,0.13849470611902434
12660.0,11,1,245.1,4,1,1,411,Potential Loyalist,0,0.14640922330800224
12662.0,1,11,3849.78,4,4,4,444,Champions,0,0.17368987604300717
12664.0,8,9,4881.88,4,4,4,444,Champions,0,0.16935118330234364
12665.0,325,1,63.0,1,1,1,111,Other,1,0.019810821028638355
12667.0,58,1,620.13,2,1,2,212,Other,0,0.12817763201234275
12668.0,12,4,3807.15,4,3,4,434,Potential Loyalist,0,0.15741136734832242
12669.0,151,3,2744.0299999999997,1,3,4,134,Big Spender,1,0.09793349356606203
12670.0,10,5,2996.05,4,3,4,434,Potential Loyalist,0,0.15845100189646188
12672.0,330,1,225.89999999999998,1,1,1,111,Other,1,0.01809078003796248
12673.0,5,2,610.52,4,2,2,422,Potential Loyalist,0,0.15115684891582992
12674.0,39,4,1970.6,3,3,4,334,Big Spender,0,0.1432762723455792
12676.0,25,6,1331.39,3,4,3,343,Other,0,0.15113106131955517
12678.0,42,12,17628.46,3,4,4,344,Big Spender,0,0.1834716569174712
12679.0,59,4,1113.02,2,3,3,233,Other,0,0.13370308951475587
12680.0,1,4,862.81,4,3,3,433,Potential Loyalist,0,0.1565810052608809
12681.0,15,22,13787.54,4,4,4,444,Champions,2,0.20430265428841882
12682.0,4,31,12288.22,4,4,4,444,Champions,2,0.2211950531155919
12683.0,4,15,8476.57,4,4,4,444,Champions,0,0.1874703717658271
12684.0,8,7,2283.63,4,4,4,444,Champions,0,0.16134941583395787
12685.0,28,6,2863.08,3,4,4,344,Big Spender,0,0.15265781328324105
12686.0,372,1,89.14,1,1,1,111,Other,1,0.0009566616145978108
12688.0,114,1,4873.8099999999995,2,1,4,214,Big Spender,0,0.11324789868469769
12689.0,26,2,1247.61,3,2,3,323,Other,0,0.14384864817092585
12690.0,206,1,389.01,1,1,2,112,Other,1,0.068247789379802
12691.0,28,6,1035.8,3,4,3,343,Other,0,0.14939716874956185
12693.0,127,4,855.91,2,3,3,233,Other,0,0.10589845143993286
12694.0,70,2,869.67,2,2,3,223,Other,0,0.12547987252643242
12695.0,7,4,582.1,4,3,2,432,Potential Loyalist,0,0.15366723062195126
12697.0,29,3,957.59,3,3,3,333,Other,0,0.14380738715715413
12700.0,8,4,4939.99,4,3,4,434,Potential Loyalist,0,0.16104141471397848
12701.0,80,2,797.71,2,2,3,223,Other,0,0.12133001756572542
12702.0,20,1,219.0,3,1,1,311,Other,0,0.1427433468604461
12703.0,71,1,283.55,2,1,1,211,Other,0,0.12234914813100548
12704.0,7,8,2340.84,4,4,4,444,Champions,0,0.1635363398811578
12705.0,15,9,6868.29,4,4,4,444,Champions,0,0.17008077001799515
12707.0,292,1,603.42,1,1,2,112,Other,1,0.03404593759115169
12708.0,30,10,2712.91,3,4,4,344,Big Spender,0,0.15831632583303418
12709.0,15,15,9736.52,4,4,4,444,Champions,0,0.1852950658406576
12710.0,97,3,1149.02,2,3,3,233,Other,0,0.11680313517484926
12712.0,29,13,4396.13,3,4,4,344,Big Spender,0,0.16677012776332137
12713.0,1,1,848.55,4,1,3,413,Potential Loyalist,0,0.1515074824340288
12714.0,9,5,4708.86,4,3,4,434,Potential Loyalist,0,0.1619095280462182
12715.0,106,1,353.86,2,1,2,212,Other,0,0.10839954404477521
12716.0,4,2,1053.49,4,2,3,423,Potential Loyalist,0,0.15234944053193666
12717.0,151,2,1030.98,1,2,3,123,Other,1,0.09319399161867623
12718.0,71,1,238.25,2,1,1,211,Other,0,0.12226831366810123
12719.0,5,2,644.95,4,2,2,422,Potential Loyalist,0,0.1512182866764876
12720.0,3,25,5781.73,4,4,4,444,Champions,2,0.19989069912893276
12721.0,32,6,2656.13,3,4,4,344,Big Spender,0,0.1506799473934881
12722.0,85,4,997.63,2,3,3,233,Other,0,0.12304142061243671
12723.0,4,5,725.07,4,3,3,433,Potential Loyalist,0,0.156811476521084
12724.0,5,4,1031.41,4,3,3,433,Potential Loyalist,0,0.15527328026613213
12725.0,371,1,427.8,1,1,2,112,Other,1,0.0019631198349972594
12726.0,28,7,2609.1,3,4,4,344,Big Spender,0,0.15388729727110068
12727.0,11,7,3980.7,4,4,4,444,Champions,0,0.16317127604212728
12728.0,71,4,836.33,2,3,3,233,Other,0,0.12838361963254175
12729.0,114,1,453.01,2,1,2,212,Other,0,0.1053593116293537
12731.0,24,12,18895.91,3,4,4,344,Big Spender,0,0.19297193257294515
12732.0,180,1,236.26000000000002,1,1,1,111,Other,1,0.07843098250103628
12733.0,234,1,383.95,1,1,2,112,Other,1,0.056978706568836905
12734.0,353,1,110.39999999999999,1,1,1,111,Other,1,0.008635349165221977
12735.0,315,2,779.5699999999999,1,2,3,123,Other,1,0.02679362664433798
12736.0,333,1,234.0,1,1,1,111,Other,1,0.016898799565968955
12738.0,372,1,155.35,1,1,1,111,Other,1,0.0010748084090545437
12739.0,78,2,1013.04,2,2,3,223,Other,0,0.12251854739466712
12740.0,64,1,427.6,2,1,2,212,Other,0,0.1254212079901658
12743.0,134,2,546.43,2,2,2,222,Other,0,0.09916580949964292
12744.0,52,7,21279.29,2,4,4,244,Big Spender,0,0.17755138081908173
12747.0,2,11,4196.01,4,4,4,444,Champions,0,0.1739055528181593
12748.0,1,209,33719.73,4,4,4,444,Champions,2,0.5601636453551929
12749.0,4,5,4090.88,4,3,4,434,Potential Loyalist,0,0.16281751280337392
12750.0,129,1,275.88,2,1,1,211,Other,0,0.09901106480665206
12752.0,81,1,4366.78,2,1,4,214,Big Spender,0,0.12561391904038868
12753.0,23,6,21429.39,3,4,4,344,Big Spender,0,0.18779872912978443
12754.0,236,3,3010.74,1,3,4,134,Big Spender,1,0.06422711198904166
12755.0,281,2,3811.95,1,2,4,124,Big Spender,1,0.045877604274308335
12756.0,87,1,112.07999999999998,2,1,1,211,Other,0,0.11560885638298583
12757.0,16,13,7857.1,4,4,4,444,Champions,0,0.17817385198800062
12758.0,117,2,2791.59,2,2,4,224,Big Spender,0,0.11000859077430375
12759.0,52,3,1531.44,2,3,3,233,Other,0,0.13558204981648958
12762.0,8,2,1898.52,4,2,4,424,Potential Loyalist,0,0.15224875429529647
12763.0,138,2,494.08,2,2,2,222,Other,0,0.09746381575039761
12764.0,317,1,1693.88,1,1,4,114,Big Spender,1,0.025938162624153223
12766.0,4,7,6989.63,4,4,4,444,Champions,0,0.1713555000532768
12769.0,239,1,1143.6,1,1,3,113,Other,1,0.056323521333969145
12770.0,211,1,1351.45,1,1,3,113,Other,1,0.06795446773725988
12772.0,60,1,892.47,2,1,3,213,Other,0,0.1278593128351563
12775.0,17,5,1386.04,4,3,3,433,Potential Loyalist,0,0.15276304602760826
12778.0,20,6,822.23,3,4,3,343,Other,0,0.15223322723020405
12779.0,38,8,3981.36,3,4,4,344,Big Spender,0,0.1539972372232862
12781.0,64,2,826.74,2,2,3,223,Other,0,0.12781613578403028
12782.0,5,5,2330.92,4,3,4,434,Potential Loyalist,0,0.15927485100403843
12783.0,2,6,2225.91,4,4,4,444,Champions,0,0.16197659513471652
12784.0,9,2,574.42,4,2,2,422,Potential Loyalist,0,0.1494838520765668
12785.0,364,1,311.95,1,1,2,112,Other,1,0.0045714075769652356
12787.0,10,3,463.66,4,3,2,432,Potential Loyalist,0,0.15056675667370242
12789.0,65,1,91.85,2,1,1,211,Other,0,0.1244199424471847
12790.0,192,1,324.92,1,1,2,112,Other,1,0.07376345237648366
12791.0,374,1,192.60000000000002,1,1,1,111,Other,1,0.0003369887046239847
12792.0,257,1,400.53999999999996,1,1,2,112,Other,1,0.04775898042468406
12793.0,335,2,545.48,1,2,2,122,Other,1,0.018333015099964278
12794.0,53,2,860.41,2,2,3,223,Other,0,0.132299809874811
12795.0,19,1,430.48,3,1,2,312,Other,0,0.14352286188013555
12797.0,366,1,254.03,1,1,1,111,Other,1,0.0036637641234265766
12798.0,10,3,6977.04,4,3,4,434,Potential Loyalist,0,0.1621893962761582
12802.0,187,1,427.58,1,1,2,112,Other,1,0.07595736533115183
12808.0,37,3,483.65000000000003,3,3,2,332,Other,0,0.13974451848685865
12809.0,178,1,489.31,1,1,2,112,Other,1,0.07968682084964128
12811.0,261,3,514.85,1,3,2,132,Other,1,0.04971976359960088
12812.0,45,1,229.64000000000001,3,1,1,311,Other,0,0.13270871384194077
12814.0,102,1,125.92,2,1,1,211,Other,0,0.1096013812463951
